Date,R1,R2,R3,R4,R5,R6,R7,R8,WD5,WV5,WD6,WV6,WD7,WV7
2020/8/3,0,0.9,4.2,0,0,0,0,8.1,7,2.311666667,6,,,
2020/8/4,0,1.2,6.3,0,0,4,0,5.4,,,,,,
2020/8/5,0,16.9,9,0,5.8,8.7,0,3.4,,,,,,
2020/8/6,0,27.3,13.9,0,22,25.1,0,10.5,,,,,,
2020/8/7,0,0,0,0,0,0,0,0,,,,,,
2020/8/8,0,2.1,1.5,0,0,1.3,0,0.3,,,,,,
2020/8/9,0,0,0,0,0,0,0,0,,,,,,
2020/8/10,0,6.5,4.4,0,10.9,18.1,0,1.4,,,,,,
2020/8/11,0,2.6,2.9,0,3.8,1.4,0,4.2,,,,,,
2020/8/12,0,28.1,30.4,0,33,35.1,0,23.6,,,,,,
2020/8/13,0,0.1,0,0,0.1,0,0,0,,,,,,
2020/8/14,0,30.2,34,0,19,22.2,0,15.5,,,,,,
2020/8/15,0,3.7,4.3,0,4.2,3.4,0,1.7,,,,,,
2020/8/16,0,31.9,31.7,0,34.3,32,0,18.7,,,,,,
2020/8/17,0,40.1,43.1,0,52.9,43.2,0,40.8,,,,,,
2020/8/18,0,0,0,0,0,0,0,0,,,,,,
2020/8/19,0,0,0,0,0.4,0,0,0,,,,,,
2020/8/20,0,0,0,1.5,0.1,0,0,0,,,,,,
2020/8/21,0,1.2,2,0.6,0,1.4,1.6,0.5,,,,,,
2020/8/22,0,2.5,1.1,0.7,0.7,1.5,2.8,1,,,,,,
2020/8/23,0,33.1,24.9,23.7,28.1,19.8,44.3,25.6,,,,,,
2020/8/24,0,0,0,0,0.2,0,0,0,,,,,,
2020/8/25,0,1.6,2.5,3,0.1,1.7,0,1.5,,,,,,
2020/8/26,0,0.2,0.2,0,0.1,0,0,2.6,,,,,,
2020/8/27,0,0,0,0,1.3,0,0.8,0,,,,,,
2020/8/28,0,0,0,0,0,0,0,0,,,,,,
2020/8/29,0,9.9,10.8,10.5,12,11.2,13.3,6.6,,,,,,
2020/8/30,0,18.4,18.3,22.6,14.4,20.7,22.8,12.7,,,,,,
2020/8/31,0,0.2,0.2,0.2,0.5,0,0.1,0,,,,,,
2020/9/1,0,0.6,0.8,0.3,0,0.3,1.2,0.7,,,,,,
2020/9/2,0,0.1,0,0,0,0,0,0,,,,,,
2020/9/3,0,0.3,0,0.8,0,0,0,0,,,,,,
2020/9/4,0,0,0,0,0,0,0,0,,,,,,
2020/9/5,0,0.5,0.1,0.3,0,0.2,0,0.3,,,,,,
2020/9/6,0,0,0,0,0,0,0,0,,,,,,
2020/9/7,0,0,0,0,0,0,0,0,,,,,,
2020/9/8,0,0,0,0,0,0,0,0,,,,,,
2020/9/9,0,11.5,24.8,13.5,2.9,8.6,7.7,15.7,,,,,,
2020/9/10,0,0.3,0.3,0.3,0,0,0.1,0.1,,,,,,
2020/9/11,0,0,0,0,0,0,0,0,,,,,,
2020/9/12,0,0.2,0,0,0,0,0,0,,,,,,
2020/9/13,0,12,10.1,6.8,6.5,12.1,14.2,3.3,,,,,,
2020/9/14,0,0.3,0.2,0.1,0,0,0,0.2,,,,,,
2020/9/15,0,1.6,1.9,0.7,0.3,3,3.8,0.7,,,,,,
2020/9/16,0,3.8,3.8,3.3,3,5.3,2.9,0,,,,,,
2020/9/17,0,0.1,0.1,0,0.1,0.2,0.3,0,,,,,,
2020/9/18,0,0,0,0,0,0,0,0,,,,,,
2020/9/19,0,0,0,0,0,0,0,0,,,,,,
2020/9/20,0,0.8,2.7,3.2,0,0,0,0,,,,,,
2020/9/21,0,8.5,14.6,12.8,4.9,9,5.1,8.1,,,,,,
2020/9/22,0,0.4,0.5,0.3,0,0.4,0.4,0.1,,,,,,
2020/9/23,0,0,0.2,0,0,0,0,0,,,,,,
2020/9/24,0,0,0,0,0,0,0,0,,,,,,
2020/9/25,0,10.7,17.2,12.7,7.9,7.7,7.2,5.3,,,,,,
2020/9/26,0,1.3,2.3,0.3,1.5,0.5,0.5,0.1,,,,,,
2020/9/27,0,0.5,1,0.1,1.4,0,0.2,0,,,,,,
2020/9/28,0,2.7,7.4,0.9,0.3,1.3,1.6,1.9,,,,,,
2020/9/29,0,0,0,0,0.1,0,0,0,,,,,,
2020/9/30,0,13.7,18.7,7.5,4.7,10.1,7.7,9.6,,,,,,
2020/10/1,0,1.3,1.5,3.5,1,0.3,0.4,0.1,,,,,,
2020/10/2,0,0.2,0,0,0,0.2,0.2,0,,,,,,
2020/10/3,0,0,0,0,0,0,0,0,,,,,,
2020/10/4,0,0,0,0,0,0,0,0,,,,,,
2020/10/5,0,0,0,0,0,0,0,0,,,,,,
2020/10/6,0,0,0,0,0,0,0,0,,,,,,
2020/10/7,0,0,0,0,0,0,0,0,,,,,,
2020/10/8,0,0,0,0,0,0,0,0,,,,,,
2020/10/9,0,0,0,0,0,0,0,0,,,,,,
2020/10/10,0,0,0,0,0,0,0,0,,,,,,
2020/10/11,0,0,0,0,0.2,0,0,0,,,,,,
2020/10/12,0,1,2.6,0,0.1,0.7,0.6,0.7,,,,,,
2020/10/13,0,1.9,1.2,0,0,1.2,2.6,0.2,,,,,,
2020/10/14,0,2,1.5,5.1,0.7,2.8,2.1,0.7,,,,,,
2020/10/15,0,0,0,0.1,0.6,0,0,0,,,,,,
2020/10/16,0,0,0,0,0,0,0,0,,,,,,
2020/10/17,0,0,0,0,0.1,0,0,0,,,,,,
2020/10/18,0,0,0,0.1,0.1,0,0,0,,,,,,
2020/10/19,0,0.1,0,0,0,0,0,0,,,,,,
2020/10/20,0,0,0,0,0,0,0,0,,,,,,
2020/10/21,0,0,0,0,0.1,0,0,0,,,,,,
2020/10/22,0,0,0,0,0,0,0,0,,,,,,
2020/10/23,0,0,0,0,0,0,0,0,,,,,,
2020/10/24,0,0,0,0.1,0,0,0,0,,,,,,
2020/10/25,0,0,0,0,0,0,0,0,,,,,,
2020/10/26,0,0,0,0,0,0,0,0,,,,,,
2020/10/27,0,0,0,0,0,0,0,2.6,,,,,,
2020/10/28,0,2.5,4.9,4.7,2.3,0,3.5,5.1,,,,,,
2020/10/29,0,11.7,1.6,0.6,0.4,9.4,7,0,,,,,,
2020/10/30,0,2.9,4.9,0.8,0.4,1.6,2.8,1.2,,,,,,
2020/10/31,0,0.1,0,0,0.1,0,0,0,,,,,,
2020/11/1,0,0,0,0,0,0,0,0,,,,,,
2020/11/2,0,0,0,0,0,0,0,0,,,,,,
2020/11/3,0,0,0,0,0,0,0,0,,,,,,
2020/11/4,0,0,0,0,0.1,0.1,0.2,0,,,,,,
2020/11/5,0,0.4,0.2,0.4,0,0.5,0.5,0,,,,,,
2020/11/6,0,0,0,0,2.4,0,0,0,,,,,,
2020/11/7,0,0,0,0,0,0,0,0,,,,,,
2020/11/8,0,0,0,0,0,0,0,0,,,,,,
2020/11/9,0,0,0,0,0,0,0,0,,,,,,
2020/11/10,0,0,0,0,0,0,0,0,,,,,,
2020/11/11,0,0,0,0,0,0,0,0,,,,,,
2020/11/12,0,0,0,0,0,0,0,0,,,,,,
2020/11/13,0,0,0,0.1,0,0,0,0,,,,,,
2020/11/14,0,0,0,0,0,0,0,0,,,,,,
2020/11/15,0,0,0,0,0,0,0,0,,,,,,
2020/11/16,0,0,0,0,0,0,0,0,,,,,,
2020/11/17,0,0.8,1.3,0.2,0.2,1.6,1.8,0.6,,,,,,
2020/11/18,0,0.6,0.3,0.3,0,0.1,0,0.2,,,,,,
2020/11/19,0,0,0,0.2,0,0,0.3,0,,,,,,
2020/11/20,0,0.4,0,0,0,0,0.1,0,,,,,,
2020/11/21,0,0,0,0,0,0,0,0,,,,,,
2020/11/22,0,0,0,0,0,0,0,0.1,,,,,,
2020/11/23,0,0.2,2.6,0,0.1,0.1,0.2,0,,,,,,
