Date,R1,R2,R3,R4,R5,R6,R7,R8,WD,WV
2020/7/1 0:00,0.1,0,0,0,0,0.1,0,0,7,3.78
2020/7/1 1:00,0.2,0.3,0.3,0.2,0,0.1,0.1,0.4,7,3.747619048
2020/7/1 2:00,0.2,0.2,0.1,0.2,0.1,0.3,0,0.1,8,5.8
2020/7/1 3:00,0.7,0.8,0.5,0.7,0.3,0.3,0.6,0.9,8,5.457142857
2020/7/1 4:00,3.2,2.4,2.7,2.6,2.6,2.8,2.9,2.3,8,5.293333333
2020/7/1 5:00,0.4,0.1,0.4,0.3,0.5,0.6,0.4,0.1,9,5.282978723
2020/7/1 6:00,0.2,0.1,0.2,0.1,0.2,0.1,0.3,0.2,8,5.716666667
2020/7/1 7:00,0.3,0.1,0.1,0.2,0.3,0.1,0.1,0.1,8,6.65
2020/7/1 8:00,0,0.1,0,0,0,0,0,0,8,7.531666667
2020/7/1 9:00,0,0,0,0,0,0,0,0,8,7.785
2020/7/1 10:00,0,0,0,0,0,0,0,0,9,8.838333333
2020/7/1 11:00,0,0,0,0,0,0,0,0,9,5.798333333
2020/7/1 12:00,0,0,0,0,0,0,0,0,8,5.611764706
2020/7/1 13:00,0,0,0,0,0,0,0,0,3,5.9
2020/7/1 14:00,0,0,0,0,0,0,0,0,3,7.383333333
2020/7/1 15:00,0,0,0,0,0,0,0,0,1,12.55
2020/7/1 16:00,0,0,0,0,0,0,0,0,1,16.88181818
2020/7/1 17:00,0,0,0,0,0,0,0,0,2,17.76363636
2020/7/1 18:00,0,0,0,0,0,0,0,0,1,12.1
2020/7/1 19:00,0,0,0,0,0,0,0,0,1,11.925
2020/7/1 20:00,0,0,0,0,0,0,0,0,1,8.52
2020/7/1 21:00,0,0,0,0,0,0,0,0,3,3.8875
2020/7/1 22:00,0,0,0,0,0,0,0,0,11,0.67
2020/7/1 23:00,0,0,0,0,0,0,0,0,13,1.508333333
2020/7/2 0:00,0,0,0,0,0,0,0,0,12,1.343636364
2020/7/2 1:00,0,0,0,0,0,0,0,0,9,2.645
2020/7/2 2:00,0,0,0,0,0,0,0,0,11,3.143902439
2020/7/2 3:00,0,0,0,0,0,0,0,0,11,4.481395349
2020/7/2 4:00,0,0,0,0,0,0,0,0,12,3.242424242
2020/7/2 5:00,0,0,0,0,0,0,0,0,11,3.348
2020/7/2 6:00,0,0,0,0,0,0,0,0,11,5.306666667
2020/7/2 7:00,0,0,0,0,0,0,0,0,11,1.986666667
2020/7/2 8:00,0,0,0,0,0,0,0,0,10,0.955882353
2020/7/2 9:00,0,0,0,0,0,0,0,0,10,1.016666667
2020/7/2 10:00,0,0,0,0,0,0,0,0,8,1.538461538
2020/7/2 11:00,0,0,0,0,0,0,0,0,5,2.192307692
2020/7/2 12:00,0,0,0,0,0,0,0,0,6,2.14
2020/7/2 13:00,0,0,0,0,0,0,0,0,4,2.8
2020/7/2 14:00,0,0,0,0,0,0,0,0,3,2.066666667
2020/7/2 15:00,0,0,0,0,0,0,0,0,2,4.2
2020/7/2 16:00,0,0,0,0,0,0,0,0,4,3.713636364
2020/7/2 17:00,0,0,0,0,0,0,0,0,6,3.132142857
2020/7/2 18:00,0,0,0,0,0,0,0,0,4,4.302272727
2020/7/2 19:00,0,0,0,0,0,0,0,0,7,5.018333333
2020/7/2 20:00,0,0,0,0,0,0,0,0,11,4.59122807
2020/7/2 21:00,0,0,0,0,0,0,0,0,1,5.826984127
2020/7/2 22:00,0,0,0,0,0,0,0,0,2,5.088333333
2020/7/2 23:00,0,0,0,0,0,0,0,0,2,8.646153846
2020/7/3 0:00,0,0,0,0,0,0,0,0,2,6.786666667
2020/7/3 1:00,0,0,0,0,0,0,0,0,2,13.08
2020/7/3 2:00,0,0,0,0,0,0,0,0,2,13.91666667
2020/7/3 3:00,0,0,0.2,0,0,0,0,0,,
2020/7/3 4:00,0,0,0.7,0,0,0,0,0,2,11.27818182
2020/7/3 5:00,0,0,1.6,0,0,0,0,0,3,7.125925926
2020/7/3 6:00,0,0,1.7,0,0,0,0,0,9,4.177419355
2020/7/3 7:00,0,0,1.1,0,0,0,0,0,9,6.563157895
2020/7/3 8:00,0,0,0,0,0,0,0,0,9,3.916326531
2020/7/3 9:00,0,0,0.1,0,0,0,0,0,8,2.545
2020/7/3 10:00,0,0,0.7,0,0,0,0,0,9,3.375
2020/7/3 11:00,0,0,1.2,0,0,0,0,0,9,2.544067797
2020/7/3 12:00,0,0,1,0,0,0,0,0,8,3.06
2020/7/3 13:00,0,0,0.1,0,0,0,0,0,8,6.25
2020/7/3 14:00,0,0,0,0,0,0,0,0,8,6.342372881
2020/7/3 15:00,0,0,0,0,0,0,0,0,7,5.231666667
2020/7/3 16:00,0,0,0,0,0,0,0,0,7,3.561016949
2020/7/3 17:00,0,0,0,0,0,0,0,0,9,1.841666667
2020/7/3 18:00,0,0,0.1,0,0,0,0,0,1,0.475
2020/7/3 19:00,0,0,0,0,0,0,0,0,1,0.730434783
2020/7/3 20:00,0,0,0,0,0,0,0,0,1,4.3725
2020/7/3 21:00,0,0,0,0,0,0,0,0,1,16.83214286
2020/7/3 22:00,0,0,0,0,0,0,0,0,1,14.81
2020/7/3 23:00,0,0,0,0,0,0,0,0,1,12.53636364
2020/7/4 0:00,0,0,0,0,0,0,0,0,1,9.757692308
2020/7/4 1:00,0,0,0,0,0,0,0,0,1,4.166666667
2020/7/4 2:00,0,0,0,0,0,0,0,0,13,2.896
2020/7/4 3:00,0,0,0,0,0,0,0,0,,
2020/7/4 4:00,0,0,0,0,0,0,0,0,,
2020/7/4 5:00,0,0,0,0,0,0,0,0,,
2020/7/4 6:00,0,0,0,0,0,0,0,0,1,9.45
2020/7/4 7:00,0,0,0,0,0,0,0,0,1,10.5
2020/7/4 8:00,0,0,0,0,0,0,0,0,1,15.7
2020/7/4 9:00,0,0,0,0,0,0,0,0,,
2020/7/4 10:00,0,0,0,0,0,0,0,0,1,13.26666667
2020/7/4 11:00,0,0,0,0,0,0,0,0,,
2020/7/4 12:00,0,0,0,0,0,0,0,0,,
2020/7/4 13:00,0,0,0,0,0,0,0,0,1,9.5
2020/7/4 14:00,0,0,0,0,0,0,0,0,1,11.51176471
2020/7/4 15:00,0,0,0,0,0,0,0,0,,
2020/7/4 16:00,0,0,0,0,0,0,0,0,,
2020/7/4 17:00,0,0,0,0,0,0,0,0,1,8.3
2020/7/4 18:00,0,0,0,0,0,0,0,0,1,6.871428571
2020/7/4 19:00,0,0,0,0,0,0,0,0,2,5.714285714
2020/7/4 20:00,0,0,0,0,0,0,0,0,5,3.022641509
2020/7/4 21:00,0,0,0,0,0,0,0,0,9,4.689655172
2020/7/4 22:00,0,0,0,0,0,0,0,0,,
2020/7/4 23:00,0,0,0,0,0,0,0,0,8,9.39122807
2020/7/5 0:00,0,0,0,0,0,0,0,0,8,11.3375
2020/7/5 1:00,0,0,0,0,0,0,0,0,8,10.73333333
2020/7/5 2:00,0,0,0,0,0,0,0,0,7,7.283018868
2020/7/5 3:00,0,0,0,0,0,0,0,0,7,6.59245283
2020/7/5 4:00,0,0,0,0,0,0,0,0,8,5.1925
2020/7/5 5:00,0,0,0,0,0,0,0,0,,
2020/7/5 6:00,0,0,0,0,0,0,0,0,9,3.803225806
2020/7/5 7:00,0,0,0,0,0,0,0,0,9,1.947222222
2020/7/5 8:00,0,0,0,0,0,0,0,0,4,0.510869565
2020/7/5 9:00,0,0,0,0,0,0,0,0,3,1.513636364
2020/7/5 10:00,0,0,0,0,0,0,0,0,4,2.147619048
2020/7/5 11:00,0,0,0,0,0,0,0,0,7,4.101785714
2020/7/5 12:00,0,0,0,0,0,0,0,0,3,0.544444444
2020/7/5 13:00,0,0,1.7,0,0,0,0,0,7,4.082857143
2020/7/5 14:00,0,0,0.4,0,0,0,0,0,8,3.072881356
2020/7/5 15:00,0,0,0,0,0,0,0,0,9,8.335294118
2020/7/5 16:00,0,0,0,0,0,0,0,0,9,5.553488372
2020/7/5 17:00,0,0,0,0,0,0,0,0,10,3.894915254
2020/7/5 18:00,0,0,0,0,0,0,0,0,11,4.132432432
2020/7/5 19:00,0,0,0,0,0,0,0,0,8,3.877777778
2020/7/5 20:00,0,0,0,0,0,0,0,0,8,4.045
2020/7/5 21:00,0,0,0,0,0,0,0,0,9,4.16
2020/7/5 22:00,0,0,0,0,0,0,0,0,10,2.326315789
2020/7/5 23:00,0,0,0,0,0,0,0,0,9,3.986440678
2020/7/6 0:00,0,0,0,0,0,0,0,0,9,5.11
2020/7/6 1:00,0,0,0,0,0,0,0,0,10,4.393333333
2020/7/6 2:00,0,0,0,0,0,0,0,0,10,4.494915254
2020/7/6 3:00,0,0,0,0,0,0,0,0,10,4.416666667
2020/7/6 4:00,0,0,0,0,0,0,0,0,10,5.021052632
2020/7/6 5:00,0,0,0,0,0,0,0,0,10,4.676666667
2020/7/6 6:00,0,0,0,0,0,0,0,0,10,3.816666667
2020/7/6 7:00,0,0,0,0,0,0,0,0,8,2.584090909
2020/7/6 8:00,0,0,0,0,0,0,0,0,6,0.252380952
2020/7/6 9:00,0,0,0,0,0,0,0,0,6,0.497222222
2020/7/6 10:00,0,0,0,0,0,0,0,0,6,5.331666667
2020/7/6 11:00,0,0,0,0,0,0,0,0,6,5.9
2020/7/6 12:00,0,0,0,0,0,0,0,0,7,6.23902439
2020/7/6 13:00,0,0,0,0,0,0,0,0,8,6.895
2020/7/6 14:00,0,0,0,0,0,0,0,0,8,6.301724138
2020/7/6 15:00,0,0,0,0,0,0,0,0,8,5.069444444
2020/7/6 16:00,0,0,0,0,0,0,0,0,7,2.8
2020/7/6 17:00,0,0,0,0,0,0,0,0,7,4.695
2020/7/6 18:00,0,0,0,0,0,0,0,0,8,8.8
2020/7/6 19:00,0,0,0,0,0,0,0,0,9,7.691666667
2020/7/6 20:00,0,0,0,0,0,0,0,0,8,8.866071429
2020/7/6 21:00,0,0,0,0,0,0,0,0,9,9.496666667
2020/7/6 22:00,0,0,0,0,0,0,0,0,8,12.59354839
2020/7/6 23:00,0,0,0,0,0,0,0,0,8,13.41
2020/7/7 0:00,0,0,0,0,0,0,0,0,8,14.32758621
2020/7/7 1:00,0,0,0,0,0,0,0,0,8,14.43666667
2020/7/7 2:00,0,0,0,0,0,0,0,0,8,14.36964286
2020/7/7 3:00,0,0,0,0,0,0,0,0,8,13.92833333
2020/7/7 4:00,0,0,0,0,0,0,0,0,8,12.80172414
2020/7/7 5:00,0,0,0,0,0,0,0,0,9,12.78103448
2020/7/7 6:00,0,0,0,0,0,0,0,0,8,10.18333333
2020/7/7 7:00,0,0,0,0,0,0,0,0,8,8.988333333
2020/7/7 8:00,0,0,0,0,0,0,0,0,8,7.996666667
2020/7/7 9:00,0,0,0,0,0,0,0,0,8,9.396666667
2020/7/7 10:00,0,0,0,0,0,0,0,0,8,9.518333333
2020/7/7 11:00,0,0,0,0,0,0,0,0,7,7.173333333
2020/7/7 12:00,0,0,0,0,0,0,0,0,7,6.995
2020/7/7 13:00,0,0,0,0,0,0,0,0,8,6.793333333
2020/7/7 14:00,0,0,0,0,0,0,0,0,7,6.150847458
2020/7/7 15:00,0,0,0,0,0,0,0,0,7,4.874576271
2020/7/7 16:00,0,0,0,0,0,0,0,0,5,2.965714286
2020/7/7 17:00,0,0,0,0,0,0,0,0,8,2.416666667
2020/7/7 18:00,0,0,0,0,0,0,0,0,7,1.496666667
2020/7/7 19:00,0,0,0,0,0,0,0,0,2,6.048
2020/7/7 20:00,0,0,0,0,0,0,0,0,2,6.277777778
2020/7/7 21:00,0,0,0,0,0,0,0,0,4,4.221428571
2020/7/7 22:00,0,0,0,0,0,0,0,0,6,4.011666667
2020/7/7 23:00,0,0,0,0,0,0,0,0,7,5.276666667
2020/7/8 0:00,0,0,0,0,0,0,0,0,6,7.22
2020/7/8 1:00,0,0,0,0,0,0,0,0,7,7.128333333
2020/7/8 2:00,0,0,0,0,0,0,0,0,8,6.486440678
2020/7/8 3:00,0,0,0,0,0,0,0,0,9,4.781355932
2020/7/8 4:00,0,0,0,0,0,0,0,0,9,1.765116279
2020/7/8 5:00,0,0,0,0,0,0,0,0,1,0.332
2020/7/8 6:00,0,0,0,0,0,0,0,0,2,0.472093023
2020/7/8 7:00,0,0,0,0,0,0,0,0,2,0.582352941
2020/7/8 8:00,0,0,0,0,0,0,0,0,2,0.636111111
2020/7/8 9:00,0,0,0,0,0,0,0,0,1,0.744444444
2020/7/8 10:00,0,0,0,0,0,0,0,0,1,0.765217391
2020/7/8 11:00,0,0,0,0,0,0,0,0,2,0.704878049
2020/7/8 12:00,0,0,0,0,0,0,0,0,2,2.293333333
2020/7/8 13:00,0,0,0,0,0,0,0,0,1,16.25
2020/7/8 14:00,0,0,0,0,0,0,0,0,,
2020/7/8 15:00,0,0,0,0,0,0,0,0,2,16.27692308
2020/7/8 16:00,0,0,0,0,0,0,0,0,2,18.50357143
2020/7/8 17:00,0,0,0,0,0,0,0,0,2,16.95666667
2020/7/8 18:00,0,0,0,0,0,0,0,0,2,16.56666667
2020/7/8 19:00,0,0,0,0,0,0,0,0,1,12.49375
2020/7/8 20:00,0,0,0,0,0,0,0,0,,
2020/7/8 21:00,0,0,0,0,0,0,0,0,2,7.088636364
2020/7/8 22:00,0,0,0,0,0,0,0,0,2,7.776470588
2020/7/8 23:00,0,0,0,0,0,0,0,0,2,5.683333333
2020/7/9 0:00,0,0,0,0,0,0,0,0,7,2
2020/7/9 1:00,0,0,0,0,0,0,0,0,4,0.294444444
2020/7/9 2:00,0,0,0,0,0,0,0,0,2,0.176923077
2020/7/9 3:00,0,0,0,0,0,0,0,0,2,0.325
2020/7/9 4:00,0,0,0,0,0,0,0,0,2,0.429166667
2020/7/9 5:00,0,0,0,0,0,0,0,0,,
2020/7/9 6:00,0,0,0,0,0,0,0,0,3,0.370731707
2020/7/9 7:00,0,0,0,0,0,0,0,0,3,0.3025
2020/7/9 8:00,0,0,0,0,0,0,0,0,2,0.36
2020/7/9 9:00,0,0,0,0,0,0,0,0,5,1.009677419
2020/7/9 10:00,0.4,0,0.2,0,0.1,0.4,0.2,0,1,8.275
2020/7/9 11:00,1,0,0.7,0,0.2,0.6,0.2,0,2,9.980769231
2020/7/9 12:00,0,0,0,0,0,0,0,0,7,2.426923077
2020/7/9 13:00,0,0,0,0,0,0,0,0,11,2.95
2020/7/9 14:00,0,0,0,0,0,0,0,0,8,5.092592593
2020/7/9 15:00,0,0,0,0,0,0,0,0,6,1.045
2020/7/9 16:00,0,0,0,0,0,0,0.1,0,6,2.603333333
2020/7/9 17:00,0.8,0,1.2,0,0.9,0.9,1.2,0,7,4.365
2020/7/9 18:00,0.1,0,0.3,0,0.5,0.3,0.2,0,7,1.315
2020/7/9 19:00,0.4,0,0.6,0,0.4,0.7,0.6,0,9,1.95
2020/7/9 20:00,0.3,0,0.1,0,0.2,0.1,0.1,0,7,1.13
2020/7/9 21:00,0.1,0,0.1,0,0,0.2,0.1,0,11,3.116666667
2020/7/9 22:00,0,0,0,0,0,0,0,0,10,3.522641509
2020/7/9 23:00,0,0,0,0,0.2,0,0.1,0,8,6.222
2020/7/10 0:00,0,0,0,0,0,0,0,0,8,2.633333333
2020/7/10 1:00,0,0,0,0,0,0,0,0,7,2.035
2020/7/10 2:00,0.1,0,0.1,0,0,0.1,0,0,7,3.368421053
2020/7/10 3:00,0,0,0,0,0.1,0,0,0,9,2.02295082
2020/7/10 4:00,0,0,0,0,0,0,0,0,6,0.346551724
2020/7/10 5:00,0,0,0,0,0,0,0,0,1,0.233333333
2020/7/10 6:00,0,0,0,0,0,0,0,0,,
2020/7/10 7:00,0,0,0,0,0,0,0,0,2,0.5
2020/7/10 8:00,0,0,0,0,0,0,0,0,2,0.475
2020/7/10 9:00,0,0,0,0,0,0,0,0,1,0.4
2020/7/10 10:00,0,0,0,0,0,0,0,0,2,0.59
2020/7/10 11:00,0,0,0,0,0,0,0,0,2,0.655932203
2020/7/10 12:00,0,0,0,0,0,0,0,0,2,5.733333333
2020/7/10 13:00,0,0,0,0,0,0,0,0,2,7.982758621
2020/7/10 14:00,0,0,0,0,0,0,0,0,2,7.990909091
2020/7/10 15:00,0,0,0,0,0,0,0,0,2,4.828333333
2020/7/10 16:00,0,0,0,0,0,0,0,0,1,2.834090909
2020/7/10 17:00,0,0,0,0,0,0,0,0,1,7.401694915
2020/7/10 18:00,0,0,0,0,0,0,0,0,1,6.940740741
2020/7/10 19:00,0,0,0,0,0,0,0,0,2,6.061904762
2020/7/10 20:00,0,0,0,0,0,0,0,0,2,11.35964912
2020/7/10 21:00,0,0,0,0,0,0,0,0,3,9.984615385
2020/7/10 22:00,0,0,0,0,0,0,0,0,5,5.016
2020/7/10 23:00,0,0,0,0,0,0,0,0,6,3.8
2020/7/11 0:00,0,0,0,0,0,0,0,0,7,4.7
2020/7/11 1:00,0,0,0,0,0,0,0,0,6,5.753333333
2020/7/11 2:00,0,0,0,0,0,0,0,0,6,5
2020/7/11 3:00,0,0,0,0,0,0,0,0,6,3.85
2020/7/11 4:00,0,0,0,0,0,0,0,0,9,0.35
2020/7/11 5:00,0,0,0,0,0,0,0,0,2,0.557142857
2020/7/11 6:00,0,0,0,0,0,0,0,0,1,11.425
2020/7/11 7:00,0,0,0,0,0,0,0,0,2,12.5627451
2020/7/11 8:00,0,0,0,0,0,0,0,0,2,12.48571429
2020/7/11 9:00,0,0.1,0,0,0,0,0,0.2,1,14.78
2020/7/11 10:00,0,0,0,0,0,0,0,0,2,17.38333333
2020/7/11 11:00,0,0,0,0,0,0,0,0,2,18.81428571
2020/7/11 12:00,0,0,0,0,0,0,0,0,2,15.06666667
2020/7/11 13:00,0.7,1.2,0.7,0.8,0.5,0.4,0.5,1.7,1,11.5
2020/7/11 14:00,1,1.2,0.8,1,0.8,1.3,0.8,1.4,1,8.393220339
2020/7/11 15:00,0.6,0.7,0.3,0.3,0.4,0.6,0.3,0.8,1,14
2020/7/11 16:00,0.5,0.8,0.4,0.4,0.3,0.4,0.3,0.8,2,10.64833333
2020/7/11 17:00,0,0,0,0,0,0,0,0,2,7.078571429
2020/7/11 18:00,0,0,0.1,0,0,0,0,0,2,6.822727273
2020/7/11 19:00,0,0.1,0,0.1,0.1,0.1,0.1,0.1,2,6.861666667
2020/7/11 20:00,0,0,0.2,0,0,0,0,0,2,6.962222222
2020/7/11 21:00,0,0.1,0,0,0,0,0,0,2,4.042105263
2020/7/11 22:00,0,0,0,0,0,0,0,0,2,2.638333333
2020/7/11 23:00,0,0,0,0,0,0,0,0,10,1.428333333
2020/7/12 0:00,0,0,0,0,0,0,0,0,9,5.541666667
2020/7/12 1:00,0,0,0,0,0,0,0,0,9,7.101694915
2020/7/12 2:00,0,0,0,0,0,0,0,0,10,7.805172414
2020/7/12 3:00,0,0,0,0,0,0,0,0,10,7.018333333
2020/7/12 4:00,0,0,0,0,0,0,0,0,11,5.236666667
2020/7/12 5:00,0,0,0,0,0,0,0,0,3,5.655172414
2020/7/12 6:00,0,0,0,0,0,0,0,0,1,7.765454545
2020/7/12 7:00,0,0,0,0,0,0,0,0,1,10.14333333
2020/7/12 8:00,0,0,0,0,0,0,0,0,1,12.78333333
2020/7/12 9:00,0,0,0,0,0,0,0,0,1,11.92391304
2020/7/12 10:00,0,0,0,0,0,0,0,0,1,11.74411765
2020/7/12 11:00,0,0,0,0,0,0,0,0,2,10.012
2020/7/12 12:00,0,0,0,0,0,0,0,0,2,11.5
2020/7/12 13:00,0,0,0,0,0,0,0,0,,
2020/7/12 14:00,0,0,0,0,0,0,0,0,1,10.90555556
2020/7/12 15:00,0,0,0,0,0,0,0,0,2,8.218333333
2020/7/12 16:00,0,0,0,0,0,0,0,0,1,9.756666667
2020/7/12 17:00,0,0,0,0,0,0,0,0,2,10.15185185
2020/7/12 18:00,0,0,0,0,0,0,0,0,2,4.634545455
2020/7/12 19:00,0,0,0,0,0,0,0,0,4,1.196
2020/7/12 20:00,0,0,0,0,0,0,0,0,7,3.608510638
2020/7/12 21:00,0,0,0,0,0,0,0,0,7,6.431578947
2020/7/12 22:00,0,0,0,0,0,0,0,0,7,6.709302326
2020/7/12 23:00,0,0,0,0,0,0,0,0,7,6.815
2020/7/13 0:00,0,0,0,0,0,0,0,0,7,6.702777778
2020/7/13 1:00,0,0,0,0,0,0,0,0,9,5.818333333
2020/7/13 2:00,0,0,0,0,0,0,0,0,9,2.798275862
2020/7/13 3:00,0,0,0,0,0,0,0,0,5,0.176666667
2020/7/13 4:00,0,0,0,0,0,0,0,0,3,0.204347826
2020/7/13 5:00,0,0,0,0,0,0,0,0,6,0.187096774
2020/7/13 6:00,0,0,0,0,0,0,0,0,8,0.265789474
2020/7/13 7:00,0,0,0,0,0,0,0,0,8,0.405555556
2020/7/13 8:00,0,0,0,0,0,0,0,0,8,5.846666667
2020/7/13 9:00,0,0,0,0,0,0,0,0,7,6.118333333
2020/7/13 10:00,0,0,0,0,0,0,0,0,7,7.708333333
2020/7/13 11:00,0,0,0,0,0,0,0,0,7,7.58
2020/7/13 12:00,0,0,0,0,0,0,0,0,7,9.883333333
2020/7/13 13:00,0,0,0,0,0,0,0,0,7,10.22978723
2020/7/13 14:00,0,0,0,0,0,0,0,0,8,11.3826087
2020/7/13 15:00,0,0,0,0,0,0,0,0,8,13.765
2020/7/13 16:00,0.1,0.3,0,0.2,0.1,0,0.1,0.3,8,9.74
2020/7/13 17:00,0.9,1.1,0.8,0.9,0.3,1,0.4,1.2,3,4.406
2020/7/13 18:00,0.8,1.2,0.6,0.6,0.4,0.6,0.8,1.1,1,4.768181818
2020/7/13 19:00,2.1,2.4,2.5,2.1,1.6,2,2,2.1,2,5.391666667
2020/7/13 20:00,0.2,0.3,0.3,0.4,0.3,0.5,0.1,0.2,4,3.538983051
2020/7/13 21:00,0,0,0,0,0,0,0,0,12,1.458333333
2020/7/13 22:00,0,0,0,0,0,0,0,0,11,1.84
2020/7/13 23:00,0,0,0,0,0,0,0,0,10,2.015
2020/7/14 0:00,0,0,0,0,0,0,0,0,9,5.771666667
2020/7/14 1:00,0,0,0,0,0,0,0,0,9,12.82833333
2020/7/14 2:00,0,0,0,0,0,0,0,0,9,13.93157895
2020/7/14 3:00,0,0,0,0,0,0,0,0,9,11.46034483
2020/7/14 4:00,0,0,0,0,0,0,0,0,9,11.10333333
2020/7/14 5:00,0,0,0,0,0,0,0,0,9,7.672727273
2020/7/14 6:00,0,0,0,0,0,0,0,0,8,5.78
2020/7/14 7:00,0,0,0,0,0,0,0,0,9,3.786486486
2020/7/14 8:00,0,0,0,0,0,0,0,0,8,2.411111111
2020/7/14 9:00,0,0,0,0,0,0,0,0,5,1.930952381
2020/7/14 10:00,0,0,0,0,0,0,0,0,2,5.838461538
2020/7/14 11:00,0,0,0,0,0,0,0,0,3,4.065
2020/7/14 12:00,0,0,0,0,0,0,0,0,2,5.583333333
2020/7/14 13:00,0,0,0,0,0,0,0,0,2,7.097619048
2020/7/14 14:00,0,0,0,0,0,0,0,0,1,10.95
2020/7/14 15:00,0,0,0,0,0,0,0,0,1,10.17894737
2020/7/14 16:00,0,0,0,0,0,0,0,0,1,11.39130435
2020/7/14 17:00,0,0,0,0,0,0,0,0,1,11.61081081
2020/7/14 18:00,0,0,0,0,0,0,0,0,1,8.12
2020/7/14 19:00,0,0,0,0,0,0,0,0,1,7.173913043
2020/7/14 20:00,0,0,0,0,0,0,0,0,1,3.163414634
2020/7/14 21:00,0,0,0,0,0,0,0,0,3,0.32195122
2020/7/14 22:00,0,0,0,0,0,0,0,0,7,0.608333333
2020/7/14 23:00,0,0,0,0,0,0,0,0,11,0.596363636
2020/7/15 0:00,0,0,0,0,0,0,0,0,11,0.18125
2020/7/15 1:00,0,0,0,0,0,0,0,0,4,0.213043478
2020/7/15 2:00,0,0,0,0,0,0,0,0,1,0.33559322
